"cleaned","label"
"the science let's see if you actually understand the science 1 against what precisely does the vax stimulate antibody production 2 why should a person with covid antibodies get the vax 3 should one seek infection once vaxed","-1"
"i am against any vaccine if it doesn't work on kids kids do get the virus","-1"
"so your vax doesn't work cause if it did and the way its going to be taken it should be absolutely eradicated if your saying therebis many different strans then it is the fuckin flu and once again bigpharma is profiting off of us covidvaccine","-1"
"no if you're worried about covid and ok w getting vaccinated get vaccinated if you're not worried about covid or worried about the vaccine don't everybody gets what they took the risk of doing you can't force ppl into taking something bc you feel it's best for you and them","-1"
"the vaccine debate is over the vaccine is not necessary for all and should not be required and forced on healthy people","-1"
"plese stop trying to force the vaccine on us thanks","-1"
"tune in and tomorrow we have a big interview with with the head of health who will be tasked with shipping millions of doses of the vaccine an interview you'll see only on","0"
"coming to you on june 23rd join and i as we talk fitness motivation making up for a lost summer now that we're fully vaxxed and more specificallyhaving a hot girl summer or better yet a hot vax summer tune into the podcast soon","0"
"when is the miss moderna booster shot becoming available cause i want that","1"
"horrific exposed magnetism intentionally added to andaposvaccineandapos to force mrna through entire body","-1"
"fucking vaccine","-1"
"jobs thats making the vaccine mandatory is crazy","-1"
"i hope they don't make this vaccine mandatory to travel until after i come back from freeport next month","-1"
"savoring my freebie donut after getting first pfizer vaccine shot today vaccinateny nyc thanks to the staff and for the tweet alerts","1"
"then the vaccine doesn't work","-1"
"i'm officially a moderna mami double vacced up baby just call me vaccine shaw","1"
"zero side effects this time from the vaccine not even my arm hurts no spaced out feeling i feel nothing","1"
"i wouldn't eat that sandwich either but i feel its safer than that vaccine","-1"
"snl has anthony fauci and deborah birx answer pressing coronavirus questions","0"
"this morning i recited alfatiha for the ups and fedex drivers and pilots who are taking part in the vaccine delivery they're heroes","1"
"nyc's first covid19 vaccine delivery expected to arrive monday morning via","0"
"dear us government i do not want a vaccine","-1"
"new stringer and levine call for vax restrictions to be lifted in hardest hit nyc neighborhoods via","0"
"free covid19 vaccine site the nyc mobile vaccine bus is in travers park on 34th ave and 77th st today through friday june 18th from 12pm 8pm they're offering free pfizer and johnson and johnson vaccines just bring id no other documents are required","0"
"executives with pfizer moderna say they're ramping up vaccine supplies via","0"
"a message from 's dr teresa smith dispelling covid19 vaccine myths","0"
"connecticut governor essential workers need the vaccine demand ct governor prioritize essential workers sign the petition via","0"
"covid vaccinations now available in southeast queens online appointments open tomorrow 220 at 8am for vaccine distribution beginning on 224","0"
"nurses volunteer vaccinators needed vaccine hubs and to help county doh's throughout nys sign up with servny or if you're already registered with the nyc mrc check here covidvaccine thisisourshot vaccinessavelives","0"
"dr anthony fauci says us will not delay second doses of covid vaccine","0"
"covid19 survivors show lasting immunity against virus cleveland clinic study says","0"
"world bank paper pdf outlining a path past vaccine nationalism and toward vaccinequity live chat on this friday 312 11am us etgt","0"
"cnbc new cdc mask guidance may spur more americans to get covid vaccine says dr scott gottlieb via","0"
"for those who have taken their vaccine remember to report your symptoms via v safe","0"
"tonight at 7pm vaccine town hall i have partnered with our council members and the city on this town hall providing information on the covid19 vaccine for south queens letsbeatcovid19together","0"
"some healthcare workers are refusing to take covid19 vaccine","-1"
"you've read the editorial and read the stories now hear the voices thanks to s podcast life under coronavirus podcast 65 but no vaccine in sight newsday","0"
"liberty pool nyc mobile van 10531 172nd street queens ny 11433 dates july 18 sunday 1100 am 700 pm vaccine offered pfizer 12","0"
"albany co residents should preregister for the vaccine here or use the state's eligibility tool","0"
"full story","0"
"a link to a full story from","0"
"that's right sheepthat vaccine isnt gonna stop you from getting it what now","-1"
"new more than 40 percent of new yorkers have received at least one dose of the covid19 vaccine check out the full story here vaccine covid nys ny","0"
"our efforts are to make sure every adolescent now down to 12 years of age has the opportunity to receive the vaccine school districts across wny are helping students get vaccinated full story at 10and11 on","0"
"covid here's my full story tonight if you missed it asking as many questions as you can and getting the facts from experts and reputable sources is how we tackle hesitancy","0"
"suny chancellor jim malatras is at binghamton university today discussing an allocation of the johnson and johnson vaccine for students as for what's next now that students are getting vaccinated watch the full story tonight on","0"
"happeningnow over 1100 people are getting their first dose of the covid19 vaccine at with appointments filling up in less than 24 hours those vaccinated will return in 3 weeks for their second dose tune in to at 6 10 and 11 for the full story","0"
"no the johnson and johnson coronavirus vaccine is not inferior michigan doctors say","0"
"chinese doctors say delta variant's symptoms different more dangerous deltavariant covid19 vaccine virus maskup china uk usa","0"
"popup vaccine clinics try to fill gaps but community doctors say they can do it better via","0"
"vaccine vaccine vaccine vaciiiiiiine me getting the dolly parton vaccine in 2 or 4 or 6 months","1"
"the fda approves the dolly vaccine moderna","1"
"the fact that dolly parton helped fund the moderna vaccine is chef's kiss","1"
"for a lot of reasons dolly would be a great person to publicly get the vaccine","1"
"me getting that dolly parton vaccine","1"
"i'm a pfizer princess hennnyyyy","1"
"i get my second dose today pfizer princess","1"
"i'm really about to be a pfizer vaccine princess and i can't wait because i'm in these streets come springsummer","1"
"y'all im officially a pfizer princess","1"
"icymi nyc mayor announces vaccine mandate video via covid19vaccine deltavarient mandatoryvaccination newyork newyorkcity","0"
"debozo's vaccine mandate effectively take the needle or you can't participate in society is disturbingly totalitarian unconstitutional and inherently discriminatory against countless demographics it's an unprecedented overreach of power and it needs to be checked","-1"
"vaccine is free safe and available no reason to selfsegregate and endanger others","1"
"i need a fake vaccine card link hit me up please it's for a friend","-1"
"my manager told me she was gonma make a fake vaccine card lmao","-1"
"i used a fake id for half my teen years so i'll definitely use a fake vaccine card to travel","-1"
"i'll sell you a fake vaccine card for an invite","-1"
"great news mimi which shot did you get i had moderna had sore arm and some chills for one day not bad at all enjoy your day","1"
"great news another vaccine site in our neighborhood at yeshiva u and they take walkins 50 only must be nys residentstudentworker 9am7pm sunthurs fri 9am5pm todaytmw april 1920 they'll take nys walkins any age info 8778294592","0"
"great news one dose of pfizer or moderna vaccines was 80 effective in preventing covid in cdc study of health workers","0"
"great news newyork people 30 are elegible for the vaccine as of tomorrow covid19 covidvaccine","0"
"covid19 update beginning tomorrow 8am nyers age 30 will be eligible to schedule their vaccine appointment starting tuesday april 6 at 8am all nyers age 16 will be eligible to receive the covid19 vaccines vaccination is to combatting this crisis","0"
"breaking says new yorkers 30 can get covid19 vaccine beginning tomorrow and 16 can start scheduling appointments","0"
"making the vaccine available india to begin covid19 vaccine supply to several countries beginning tomorrow","0"
